饥渴	jike
指导	vidc
以下	yixx
一致	yivi
知识	viui
二十	erui
称为	igww
消失	xnui
兼职	jmvi
人物	rfwu
实践	uijm
水瓶	uvpk
实施	uiui
深思	ufsi
美洲	mwvz
练习	lmxi
先进	xmjb
旗舰	qijm
机器	jiqi
智慧	vihv
一篇	yipm
渐	jmdj
绩	jisr
啊	a|aakk
按	anf|anfn
安	an|anbn
案	anb
爱	ai|aip|aipy
阿	aa|aae|aaek|eee
奥	ao|aopd
岸	ane|aneg
澳	aod|aodd
埃	ait
艾	aic|aicx
碍	aiuc
癌	aib|aibe
暗	ano|anoo
昂	ah|ahoe
傲	aor|aorw
鞍	angn
哀	aiw
氨	anq|anqn
挨	aif
俺	anr|anrd
熬	aof|aofh
矮	aiu|aiun
凹	aol|aola|wal
盎	ahy|ahym
胺	anon
隘	aie|aiem
鳌	aofa
铵	anj
谙	any|anyo
庵	ang|angd
蔼	aicv
敖	aofw
腌	aao|aaod|yjo
黯	anh|anho
遨	aoz|aozw
唉	aik
鏖	aog|aogj
袄	aop|aopy
皑	aibj
哎	aikx
坳	aot|aotl
翱	aob|aobx
嗷	aok|aokw
肮	aho|ahoj
拗	aofl|nqfl
懊	aox|aoxd
岙	aoy
鹌	and|andn
霭	aiy|aiyv
嗄	aakw|uak|uakw
螯	aofi
骜	aofm
暧	aio|aioy
桉	anm|anmn
嫒	ain|ainy
獒	aofq
嗳	aiky
鏊	aofj
吖	aak|aaky
瑷	aiwy
埯	ant
锕	aaj|aajk
嗌	aikm|yikm
媪	aon|aonm
廒	aogw
聱	aofe
犴	anqg|hjq|hjqg
锿	aij|aijy
砹	aiux
欸	ais|aisr|ei|eis|eisr
卬	ahp|ahpe
叆	aiey
毐	aiuw|aiua
唵	ank|ankd
垵	antn
𩽾	ana
盦	anrm
璈	aow|aoww
奡	aoa|aoal
隩	aoe|aoed
安全	aq|anqr
按照	av|anvc
安排	ap|anpd|anp
按错	ac|anco
按时	au
安静	aj|anjk
昂贵	ag|ahgv
按到	ad
