拆分：乛豕	彖
拆分：乛又	皮
拆分：乛丶	发
拆分：彐乀	艮
拆分：丿火	炙
拆分：丷乀	兼
拆分：丿又	段
拆分：丿田	留
拆分：耳乀	聚
拆分：八	具
拆分：丘丿	乒
拆分：乛廾	彝
拆分：乛乛	疏
拆分：十乀	丧
拆分：丿山	岛
拆分：丨巾	师
拆分：乛厶	幺
拆分：乛匕	彘
拆分：口一	戢
拆分：丿木	枭
拆分：乛乀	隶
拆分：亠丶	亦
拆分：亠土	壅
拆分：宀巾	帘
拆分：丶万	方
拆分：⺌木	棠
拆分：乛一	毋
拆分：乛一	毌
拆分：乛丶	母
拆分：尸玉	璧
拆分：一口	石
拆分：宀内	窝
拆分：丨月	骨
拆分：乛攵	敢
拆分：冂	见
拆分：𠂊乀	象
拆分：乛乛	乙
拆分：了一	亟
拆分：人	余
拆分：八	其
拆分：𦍌灬	羔
拆分：歹良	餮
拆分：夭丨	乔
拆分：午卩	卸
拆分：广乀	庚
拆分：一丶	彧
拆分：戊一	戌
拆分：十龶	截
拆分：龵丰	拜
拆分：乛丿	爿
拆分：十	直
拆分：目龶	瞿
拆分：⺌𧘇	裳
拆分：𠂊龶	雏
拆分：了一	丞
拆分：丘丶	乓
拆分：一一	互
拆分：一儿	兀
拆分：丨八	典
拆分：一凵	击
拆分：丨一	卣
拆分：乛乀	孓
拆分：寸	寿
拆分：乛乛	巯
拆分：亠巾	帝
拆分：乛丨	弗
拆分：丿亻	彳
拆分：乛	既
拆分：囗一	日
拆分：囗一	曰
拆分：冂一	月
拆分：乛乛	民
拆分：囗一	目
拆分：丿人	贸
拆分：乌丶	鸟
拆分：丶鸟	鸩
拆分：业丶	黻
拆分：乛一	丑
拆分：一乛	世
拆分：丿乛	乞
拆分：立丿	产
拆分：勹丶	匆
拆分：丨乂	卤
拆分：丿卩	卯
拆分：戌口	咸
拆分：戌女	威
拆分：丨巾	帅
拆分：亠廾	弈
拆分：产丿	彦
拆分：戈丿	戊
拆分：戊丶	戍
拆分：⺌手	掌
拆分：木手	攀
拆分：米斤	断
拆分：一	暨
拆分：木乀	椓
拆分：氵韭	瀣
拆分：丿火	爨
拆分：⺌牙	牚
拆分：丿玉	璺
拆分：丿皿	盥
拆分：龴丿	矛
拆分：亡凡	羸
拆分：乛丶	肃
拆分：丿八	舆
拆分：丿丨	舞
拆分：亠𧘇	衮
拆分：亠𧘇	衰
拆分：八一	釜
拆分：亠金	銮
拆分：丿十	阜
拆分：丨一	临
拆分：亠儿	充
拆分：儿丶	兆
拆分：⺌儿	党
拆分：亠八	六
拆分：丿干	午
拆分：卩	即
拆分：丿卩	卿
拆分：勹口	句
拆分：丁口	哥
拆分：亠口	商
拆分：羊口	善
拆分：口乀	噗
拆分：人土	坐
拆分：⺌土	堂
拆分：土乀	墣
拆分：冫士	壮
拆分：丿夂	复
拆分：丷夂	夔
拆分：亠大	奕
拆分：一丨	奡
拆分：冫女	妆
拆分：亠女	娈
拆分：乛一	孑
拆分：冫寸	将
拆分：乛丿	尸
拆分：巳丨	巴
拆分：乂巾	希
拆分：⺌巾	常
拆分：巾乀	幞
拆分：一丶	弋
拆分：彐氺	录
拆分：龶攵	敖
拆分：一尢	无
拆分：日工	曌
拆分：亠木	栾
拆分：又木	桑
拆分：士又	榖
拆分：立又	毅
拆分：氵月	溯
拆分：未水	漦
拆分：冫犬	状
拆分：王乀	璞
拆分：丿田	番
拆分：𠂊又	皱
拆分：丿天	矢
拆分：亠小	禀
拆分：午凵	缶
拆分：亠人	脔
拆分：亠月	膏
拆分：艹灬	蔗
拆分：丿几	虢
拆分：亡凡	蠃
拆分：亠口	言
拆分：土丶	赤
拆分：𧾷乀	蹼
拆分：𧾷乛	躐
拆分：酉乀	醭
拆分：钅灬	镳
拆分：丶龶	隺
拆分：士日	馨
拆分：一丨	鬲
拆分：亠鸟	鸾
拆分：二电	鼋
拆分：口电	鼍
拆分：𭕄丨	举
拆分：人丨	介
拆分：⺶丨	养
拆分：丿几	凫
拆分：亠乀	夜
拆分：丨夬	央
拆分：丿丨	手
拆分：斤	斯
拆分：气丨	氘
拆分：乛	甚
拆分：禾乀	穙
拆分：⺌人	赏
拆分：丿丨	释
拆分：乡良	飨
拆分：一乛	鬣
拆分：目乛	鼎
拆分：一一	亘
拆分：乛人	以
拆分：了凵	函
拆分：丿卩	印
拆分：土	坒
拆分：土	基
拆分：天	奏
拆分：一女	妻
拆分：山乛	嶲
拆分：心	惎
拆分：忄日	愭
拆分：日	春
拆分：一乀	更
拆分：一日	曹
拆分：月	期
拆分：木日	榰
拆分：十	毕
拆分：匕	毙
拆分：氺	泰
拆分：氵月	滫
拆分：氵灬	瀌
拆分：乛目	眉
拆分：禾	秦
拆分：禾	稙
拆分：宀	窥
拆分：小	綦
拆分：𦍌丶	羲
拆分：一习	翘
拆分：臼	舂
拆分：彳亍	衢
拆分：又	观
拆分：夫	规
拆分：丿	觅
拆分：礻	视
拆分：𭕄	觉
拆分：山	觊
拆分：辶乛	邋
拆分：阝	邦
拆分：钅乀	镤
拆分：少龶	雀
拆分：牙龶	雅
拆分：且龶	雎
拆分：龶	靓
拆分：人	顷
拆分：人良	食
拆分：夕良	飧
拆分：厂良	餍
拆分：亠良	饔
拆分：鱼日	鳍
拆分：文丨	齐
拆分：一丶	专
拆分：亻	值
拆分：𠂊乛	免
拆分：丶乀	农
拆分：丿刂	制
拆分：一刂	副
拆分：丨匕	北
拆分：丿十	卑
拆分：丷丨	单
拆分：又且	叠
拆分：土	埴
拆分：宀	宽
拆分：扌木	探
拆分：扌龶	擢
拆分：扌龶	攉
拆分：日龶	曜
拆分：木	植
拆分：歹	殖
拆分：丿又	殷
拆分：氵龶	澭
拆分：氵龶	濉
拆分：氵龶	濯
拆分：犭龶	獾
拆分：疒龶	癯
拆分：十	矗
拆分：亠丶	离
拆分：纟丨	绛
拆分：罒	置
拆分：罒龶	罹
拆分：⺌龶	耀
拆分：月龶	臃
拆分：艹龶	蕹
拆分：丿𧘇	袅
拆分：一乀	豕
拆分：丿丿	豸
拆分：土龶	趯
拆分：𧾷龶	躏
拆分：亻龶	隹
拆分：𠂇龶	雄
拆分：广匕	鹿
拆分：一丿	万
拆分：丨一	上
拆分：一卜	下
拆分：一丶	不
拆分：不一	丕
拆分：丿一	丘
拆分：丿丶	丸
拆分：乛丿	乃
拆分：丿乀	久
拆分：乛丿	乡
拆分：乛丶	书
拆分：丨乛	乩
拆分：乛丨	了
拆分：亻乀	偎
拆分：丷乀	冁
拆分：匚巾	匝
拆分：匚斤	匠
拆分：上卜	卡
拆分：臣卜	卧
拆分：丿丶	卵
拆分：丿乀	及
拆分：乛又	叚
拆分：口乀	喂
拆分：黑土	墨
拆分：女龶	嬥
拆分：𠂇乛	尢
拆分：乛丿	尹
拆分：尸乀	展
拆分：丶丨	州
拆分：匚一	巨
拆分：土干	幸
拆分：乛乛	弓
拆分：弓弓	弼
拆分：丿丶	我
拆分：丿斤	所
拆分：乛乀	承
拆分：龵手	掰
拆分：扌乀	搌
拆分：一十	斠
拆分：丿丶	斥
拆分：方乀	旅
拆分：丨一	曲
拆分：一乀	柬
拆分：氏丶	氐
拆分：氵龶	灈
拆分：灬	焘
拆分：火乀	煨
拆分：火龶	爟
拆分：丿乛	片
拆分：犭乀	猥
拆分：田乀	畏
拆分：石乀	碨
拆分：石乀	碾
拆分：禾𧘇	穰
拆分：丿乛	粤
拆分：弓弓	粥
拆分：耳乛	聘
拆分：乛丨	聿
拆分：一聿	肆
拆分：丿乛	胤
拆分：匚丨	臣
拆分：丨	览
拆分：一一	豆
拆分：车乀	辗
拆分：厂乀	辰
拆分：阝乀	隈
拆分：一毛	髦
拆分：一𧘇	鬟
拆分：弓丨	鬻
拆分：鱼乀	鳂
拆分：艹八	黄
拆分：丨灬	黑
拆分：业甫	黼
拆分：人一	丛
拆分：丿厶	丢
拆分：亚丿	严
拆分：人丨	个
拆分：丷丨	丫
拆分：丨丨	中
拆分：丨丨	串
拆分：丿乀	乂
拆分：丶乂	义
拆分：丿丶	乐
拆分：乛大	买
拆分：丿乛	乳
拆分：十乞	乾
拆分：龴丨	予
拆分：二乛	亏
拆分：二丨	亓
拆分：一丨	井
拆分：亠乛	亡
拆分：亠了	亨
拆分：亠𧘇	亵
拆分：人乛	今
拆分：亻乛	俜
拆分：亻一	俭
拆分：亻女	偃
拆分：亻丿	僇
拆分：亻𧘇	儇
拆分：亻丶	儳
拆分：白儿	兜
拆分：一冉	再
拆分：冖乀	冢
拆分：几丶	凡
拆分：乂凵	凶
拆分：水凵	凼
拆分：禾刂	利
拆分：乛刂	剿
拆分：且力	助
拆分：勹田	匐
拆分：一丨	卅
拆分：十廾	卉
拆分：丨十	卓
拆分：卩一	卫
拆分：丿卩	卬
拆分：了乛	卺
拆分：厂丶	压
拆分：厂丶	厖
拆分：厂甲	厣
拆分：乛厶	厾
拆分：且厶	县
拆分：又丶	叉
拆分：耳又	取
拆分：乛口	司
拆分：亠𧘇	哀
拆分：口乀	啄
拆分：口豕	喙
拆分：口小	嘁
拆分：口用	嘴
拆分：口豕	噱
拆分：口𧘇	嚷
拆分：丿乂	囟
拆分：丿夂	囱
拆分：囗𧘇	圜
拆分：土女	堰
拆分：土𧘇	壤
拆分：丿士	壬
拆分：一夂	夏
拆分：乛乀	夬
拆分：一乀	夷
拆分：一乀	夹
拆分：大廾	奔
拆分：丿大	奥
拆分：女乛	娉
拆分：女丿	嫪
拆分：女𧘇	嬛
拆分：女韭	孅
拆分：亠丸	孰
拆分：宀㠯	官
拆分：宀丿	寥
拆分：宀𧘇	寰
拆分：身寸	射
拆分：乃小	尕
拆分：小土	尘
拆分：尢丶	尤
拆分：𠂇丶	尨
拆分：尸乀	尺
拆分：夭山	岙
拆分：丘山	岳
拆分：山一	崄
拆分：山丶	巉
拆分：一十	平
拆分：丷开	并
拆分：幺力	幼
拆分：广丨	庸
拆分：广丿	廖
拆分：厶廾	弁
拆分：巳廾	异
拆分：王廾	弄
拆分：人廾	弇
